:START_ID,:END_ID,:TYPE
"East Carolina University","Ohio State University",COAUTHORED_WITH
"Universityersité Paris-Est","Computer Science and Artificial Intelligence Laboratory, MIT, Cambridge, MA 02139, United States",COAUTHORED_WITH
"East Carolina University","McGill University",COAUTHORED_WITH
"East Carolina University","McGill University",COAUTHORED_WITH
"East Carolina University","University of New Orleans",COAUTHORED_WITH
"West Texas A and M University","University of Washington",COAUTHORED_WITH
"East Carolina University","London School of Hygiene and Tropical Medicine, London WC1E 7HT, United Kingdom",COAUTHORED_WITH
"Florida International University","ETS-Lindgren, ESCO Technology Company, Cedar Park, PA, United States",COAUTHORED_WITH
"E. Carolina University","Dalhouse University",COAUTHORED_WITH
"East Carolina University","National Institute of Technology",COAUTHORED_WITH
"Bucknell University","Carnegie Mellon University",COAUTHORED_WITH
"Dalton State University","University of Memphis",COAUTHORED_WITH
"East Carolina University","University of Calgary",COAUTHORED_WITH
"East Carolina University","Radford University",COAUTHORED_WITH
"East Carolina University","Universityersité Paris-Est",COAUTHORED_WITH
"East Carolina University","Lucent Technologies, Inc., 67 Whippany Rd., Whippany, NJ 07981, United States",COAUTHORED_WITH
"East Carolina University","Center for Creative Leadership, One Leadership Place, Greensboro, NC 27438-6300, United States",COAUTHORED_WITH
"University of Washington","Florida State University",COAUTHORED_WITH
"Winthrop University","East Carolina University",COAUTHORED_WITH
"University of Rhode Island","Portland State University",COAUTHORED_WITH
"University of Waterloo","Open University",COAUTHORED_WITH
"University of Georgia","East Carolina University",COAUTHORED_WITH
"University of Georgia","East Carolina University",COAUTHORED_WITH
"University of Georgia","East Carolina University",COAUTHORED_WITH
"University of Georgia","East Carolina University",COAUTHORED_WITH
"University of Georgia","East Carolina University",COAUTHORED_WITH
"Sun Yat-Sen University","The University of Alabama",COAUTHORED_WITH
"Elizabeth City State University","East Carolina University",COAUTHORED_WITH
"Radford University","Department of Business Information Technology, Virginia Tech, 1007 Pamplin Hall, Blacksburg, VA 24061, United States",COAUTHORED_WITH
"Rhode Island College","QSS Group, Inc., Maryland, United States",COAUTHORED_WITH
"East Carolina University","University of California",COAUTHORED_WITH
"Texas Tech University","University of Notre Dame",COAUTHORED_WITH
"University of Calgary","East Carolina University",COAUTHORED_WITH
"Institute for Surface and Interface Science","East Carolina University",COAUTHORED_WITH
"East Carolina University","City University of Hong Kong",COAUTHORED_WITH
"East Carolina University","Winthrop University",COAUTHORED_WITH
"East Carolina University","Marist College",COAUTHORED_WITH
"East Carolina University","Marist College",COAUTHORED_WITH
"East Carolina University","Marist College",COAUTHORED_WITH
"China University of Geosciences","Woxsen School of Business, Jubilee Road No. 36, Hyderabad, India",COAUTHORED_WITH
"East Carolina University","Purdue University",COAUTHORED_WITH
"East Carolina University","Purdue University",COAUTHORED_WITH
"Purdue University","Michigan State University",COAUTHORED_WITH
"East Carolina University","Sun Yat-Sen University",COAUTHORED_WITH
"Department of Physics and Astronomy and Institute for Surface and Interface Science","División de Fésica Aplicada, Centro de Investigación Cientéfica y de Educación Superior de Ensenada, Apartado Postal 2732, Ensenada, B.C., 22800, Mexico",COAUTHORED_WITH
"California State University","East Carolina University",COAUTHORED_WITH
"School of Resources and Environment, UESTC, Chengdu, China","Institute of Remote Sensing Big Data",COAUTHORED_WITH
"Department of Library Studies and Educational Technology, United States","East Carolina University",COAUTHORED_WITH
"University of Houston-Clear Lake","Iowa State University",COAUTHORED_WITH
"Center for Information Geoscience, UESTC, 2006 Xiyuan Avenue, West Hi-tech Zone, Chengdu, Sichuan, China","East Carolina University",COAUTHORED_WITH
"Center for Information Geoscience, UESTC, 2006 Xiyuan Avenue, West Hi-tech Zone, Chengdu, Sichuan, China","East Carolina University",COAUTHORED_WITH
"Federal University of Campina Grande","University of Strathclyde",COAUTHORED_WITH
"University of Tennessee at Martin","East Carolina University",COAUTHORED_WITH
"East Carolina University","Institute of Remote Sensing Big Data",COAUTHORED_WITH
"East Carolina University","Institute of Remote Sensing Big Data",COAUTHORED_WITH
"East Carolina University","Institute of Remote Sensing Big Data",COAUTHORED_WITH
"East Carolina University","Institute of Remote Sensing Big Data",COAUTHORED_WITH
"East Carolina University","Institute of Remote Sensing Big Data",COAUTHORED_WITH
"East Carolina University","Institute of Remote Sensing Big Data",COAUTHORED_WITH
"East Carolina University","Institute of Remote Sensing Big Data",COAUTHORED_WITH
"East Carolina University","Institute of Remote Sensing Big Data",COAUTHORED_WITH
"East Carolina University","Institute of Remote Sensing Big Data",COAUTHORED_WITH
"East Carolina University","Beijing Jiaotong University",COAUTHORED_WITH
"Texas A and M University","East Carolina University",COAUTHORED_WITH
"Texas A and M University","East Carolina University",COAUTHORED_WITH
"Utah Valley State College","Northwestern State University",COAUTHORED_WITH
"East Carolina University","Wuhan University",COAUTHORED_WITH
"Nanjing University","Dakota State University",COAUTHORED_WITH
"East Carolina University","School of Resources and Environment, UESTC, Chengdu, China",COAUTHORED_WITH
"Sun Yat-Sen University","East Carolina University",COAUTHORED_WITH
"East Carolina University","Old Dominion University",COAUTHORED_WITH
"East Carolina University","Old Dominion University",COAUTHORED_WITH
"East Carolina University","Old Dominion University",COAUTHORED_WITH
"University of Electronic Science and Technology of China","East Carolina University",COAUTHORED_WITH
"University of Electronic Science and Technology of China","East Carolina University",COAUTHORED_WITH
"Surface Optics Corporation, P. O. Box 261602, San Diego, 92196, United States","Instituto de Estructura de la Materia, Consejo Superior de Investigaciones Científicas, Serrano 121, Madrid, 28006, Spain",COAUTHORED_WITH
"Southeast University","Sun Yat-sen University",COAUTHORED_WITH
"University of Arizona","University of Wyoming",COAUTHORED_WITH
"East Carolina University","Advisory Information Developer Software Group, IBM Corporation, Alfred, ME, United States",COAUTHORED_WITH
"Wuhan University","East Carolina University",COAUTHORED_WITH
"Pennsylvania State University - Harrisburg","East Carolina University",COAUTHORED_WITH
"East Carolina University","Northeast Missouri State University",COAUTHORED_WITH
"East Carolina University","Northeast Missouri State University",COAUTHORED_WITH
"Spartanburg Regional Healthcare System, 101 East Wood Street, Spartanburg, SC 29303, United States","East Carolina University",COAUTHORED_WITH
"East Carolina University","TCC Publishing, Inc., Greenville, NC, 25858, United States",COAUTHORED_WITH
"East Carolina University","TCC Publishing, Inc., Greenville, NC, 25858, United States",COAUTHORED_WITH
"Beijing Jiaotong University","Xi'an Jiaotong University",COAUTHORED_WITH
"North Carolina A and T State University","East Carolina University",COAUTHORED_WITH
"Institute of Statistical Information","East Carolina University",COAUTHORED_WITH
"East Carolina University","Michigan State University",COAUTHORED_WITH
"East Carolina University","Okayama University",COAUTHORED_WITH
"Rhode Island College","East Carolina University",COAUTHORED_WITH
"Rhode Island College","East Carolina University",COAUTHORED_WITH
"Florida A and M University","East Carolina University",COAUTHORED_WITH
"Oxford Brookes University","University of Strathclyde",COAUTHORED_WITH
"Dalton State University","University of Toledo",COAUTHORED_WITH
"Carnegie Mellon University","Bucknell University",COAUTHORED_WITH
"George Washington University","East Carolina University",COAUTHORED_WITH
"East Carolina University","Virginia Commonwealth University",COAUTHORED_WITH
"East Carolina University","Virginia Commonwealth University",COAUTHORED_WITH
"East Carolina University","Virginia Commonwealth University",COAUTHORED_WITH
"Beijing Jiaotong University","East Carolina University",COAUTHORED_WITH
"Nanjing University of Posts and Telecommunications","East Carolina University",COAUTHORED_WITH
"East Carolina University","University of Arkansas",COAUTHORED_WITH
"East Carolina University","University of Arkansas",COAUTHORED_WITH
"Indiana University","Cardiff University",COAUTHORED_WITH
"East Carolina University","University of Maryland",COAUTHORED_WITH
"Michigan State University","East Carolina University",COAUTHORED_WITH
"Southern Illinois University","George Washington University",COAUTHORED_WITH
"East Carolina University","University of North Carolina-Chapel Hill",COAUTHORED_WITH
"East Carolina University","University of Florida",COAUTHORED_WITH
"University of North Carolina at Chapel Hill","East Carolina University",COAUTHORED_WITH
"Nanjing University","East Carolina University",COAUTHORED_WITH
"Research and Production Corporation Radiy, 29 Geroyev Stalingrada St., Kirovograd, Ukraine","University of Banking of the National Bank of Ukraine",COAUTHORED_WITH
"North Dakota State University","China Telecom Americas, Inc., San Jose, CA 95110, United States",COAUTHORED_WITH
"China University of Geosciences","Nanjing University of Sci. and Tech.",COAUTHORED_WITH
"East Carolina University","Nanjing University of Sci. and Tech.",COAUTHORED_WITH
"Wuhan University","Central South University",COAUTHORED_WITH
"Reckitt Benckiser, 9, Moskovskij Prospekt, Kiev, 04073, Ukraine","Okanagan College",COAUTHORED_WITH
"Ohio State University","University of Belgrade",COAUTHORED_WITH
"East Carolina University","Hawaii Pacific University",COAUTHORED_WITH
"East Carolina University","University of Missouri",COAUTHORED_WITH
"University of Banking of the National Bank of Ukraine","East Carolina University",COAUTHORED_WITH
"East Carolina University","Cleveland State University",COAUTHORED_WITH
"East Carolina University","Cleveland State University",COAUTHORED_WITH
"East Carolina University School of Medicine","East Carolina University School of Medicine",COAUTHORED_WITH
"East Carolina University School of Medicine","East Carolina University School of Medicine",COAUTHORED_WITH
"East Carolina University School of Medicine","East Carolina University School of Medicine",COAUTHORED_WITH
"East Carolina University School of Medicine","East Carolina University School of Medicine",COAUTHORED_WITH
"Computer Science East Carolina University","Robotics in Mining McGill University Montreal",COAUTHORED_WITH
"University of Central Arkansas","East Carolina University",COAUTHORED_WITH
"East Carolina University","University of Alabama",COAUTHORED_WITH
"University of Rhode Island","East Carolina University",COAUTHORED_WITH
"Centrum Wiskunde and Informatica, Amsterdam, Netherlands","East Carolina University",COAUTHORED_WITH
"East Carolina University","Institute of Statistical Information",COAUTHORED_WITH
"University of Arizona","Swarmotics LLC, Laramie, United States",COAUTHORED_WITH
"East Carolina University","Chaoyang University of Technology",COAUTHORED_WITH
"Indiana University","East Carolina University",COAUTHORED_WITH
"Department of Business Information Technology, Virginia Tech, 1007 Pamplin Hall, Blacksburg, VA 24061, United States","Radford University",COAUTHORED_WITH
"College for Financial Planning","East Carolina University",COAUTHORED_WITH
"Swarmotics LLC, Laramie, United States","University of Wyoming",COAUTHORED_WITH
"Florida State University","University of Washington",COAUTHORED_WITH
"National Institute of Technology","East Carolina University",COAUTHORED_WITH
"East Carolina University","Department of Business Information Technology, Virginia Tech, 1007 Pamplin Hall, Blacksburg, VA 24061, United States",COAUTHORED_WITH
"Computer Science and Artificial Intelligence Laboratory, MIT, Cambridge, MA 02139, United States","Institute of Mathematics",COAUTHORED_WITH
"West Texas A and M University","Florida A and M University",COAUTHORED_WITH
"University of Notre Dame","East Carolina University",COAUTHORED_WITH
"Jiangsu University of Science and Technology","Southeast University",COAUTHORED_WITH
"East Carolina University","University of Electronic and Science Technology of China (UESTC)",COAUTHORED_WITH
"East Carolina University","University of Electronic and Science Technology of China (UESTC)",COAUTHORED_WITH
"East Carolina University","University of Electronic and Science Technology of China (UESTC)",COAUTHORED_WITH
"East Carolina University","University of Electronic and Science Technology of China (UESTC)",COAUTHORED_WITH
"East Carolina University","University of Electronic and Science Technology of China (UESTC)",COAUTHORED_WITH
"East Carolina University","University of Electronic and Science Technology of China (UESTC)",COAUTHORED_WITH
"East Carolina University","University of Electronic and Science Technology of China (UESTC)",COAUTHORED_WITH
"East Carolina University","University of New Hampshire",COAUTHORED_WITH
"East Carolina University","Swarmotics LLC, Laramie, United States",COAUTHORED_WITH
"Instituto de Estructura de la Materia, Consejo Superior de Investigaciones Científicas, Serrano 121, Madrid, 28006, Spain","Surface Optics Corporation, P. O. Box 261602, San Diego, 92196, United States",COAUTHORED_WITH
"East Carolina University","Hydraulic Study Department, Calcutta Port Trust, Calcutta, India",COAUTHORED_WITH
"East Carolina University","Florida A and M University",COAUTHORED_WITH
"Reckitt Benckiser, 9, Moskovskij Prospekt, Kiev, 04073, Ukraine","Universityersité Paris-Est",COAUTHORED_WITH
"Rensselaer Polytechnic Institute","East Carolina University",COAUTHORED_WITH
"Department of Physics and Astronomy and Institute for Surface and Interface Science","East Carolina University",COAUTHORED_WITH
"Instituto de Estructura de la Materia, Consejo Superior de Investigaciones Científicas, Serrano 121, Madrid, 28006, Spain","East Carolina University",COAUTHORED_WITH
